E,split
0.6469,train
0.6554,val
0.6638,train
0.6723,train
0.6807,train
0.6892,train
0.6976,train
0.7061,train
0.7167,test
0.7274,test
0.738,train
0.7486,train
0.7593,test
0.7699,train
0.7806,test
0.7912,val
0.8018,test
0.8125,train
0.8231,test
0.8337,train
0.8444,train
0.855,train
0.8657,train
0.8763,train
0.8869,train
0.8976,train
0.9082,train
1.1102,train
1.3122,val
1.5143,train
1.7163,train
1.9184,train
2.1204,test
2.3224,train
2.5245,train
2.5351,train
2.5458,train
2.5564,test
2.567,train
2.5777,train
2.5883,train
2.5989,train
2.6096,test
2.6202,test
2.6308,train
2.6414,val
2.6521,train
2.6627,train
2.6733,train
2.684,train
2.6946,train
2.7052,val
2.7159,train
2.7265,train
2.9286,val
3.1306,train
3.3327,train
3.5347,train
3.7367,test
3.9388,train
4.1408,train
4.3429,train
4.5449,train
4.7469,train
4.949,test
5.151,train
5.3531,train
5.5551,train
5.7571,train
5.9592,train
6.1612,val
6.3633,test
6.5653,train
6.7673,train
6.9694,train
7.1714,test
7.3735,train
7.5755,val
7.7776,val
7.9796,train
8.1816,train
8.3837,train
8.5857,train
8.7878,test
8.9898,train
9.1918,train
9.3939,train
9.5959,val
9.798,train
10.0,val
